NORMALIZED_STRING	ORIGINAL_STRING	IDENTIFIER	SOURCE_CODE
Methemoglobinemia, Venous	MetHgb Venous	8837004	CERNER
Methemoglobinemia, Venous	MCODES_MetHgb Venous Result	8854003	SCM
Methemoglobinemia, Venous	C METHGB VENOUS	8868003	EPIC
Methemoglobinemia, Venous	MetHgb Venous	ABL90 VEN_MetHgb Venous	PS
Microcytes	Microcytes	4862726	CERNER
Microcytes	C MICROCYTES	164349	EPIC
Microcytes	Microcytes	226080	SCM
Microcytes	Microcyte	165905	DMEE
Microcytes	MICROCYTES	M-DIFF_MICROCYTES	PS
Microcytes	MICROCYTES	RBCMORF_MICROCYTES	PS
Microcytes	Microcytes	M-DIFF_Microcytes	PS
Microcytes	Microcytes	RBCMORF_Microcytes	PS
Monocyte Count	Absolute Monocyte Count	4855079	CERNER
Monocyte Count	C # MONOCYTES (AUTO)	171903	EPIC
Monocyte Count	Mono # PAH Result	227608	SCM
Monocyte Count	C # MONOCYTES (MANUAL)	159619	EPIC
Monocyte Count	Monocyte Manual	4862737	CERNER
Monocyte Count	Mono (MONOS)	226010	SCM
Monocyte Count	Monocytes PAH Results	226609	SCM
Monocyte Count	Mono Auto	168688	DMEE
Monocyte Count	Mono Auto	162079	DMEE
Monocyte Count	Monocyte Man	168740	DMEE
Monocyte Count	Monocyte Man	162154	DMEE
Monocyte Count	Monocyte Man	M-DIFF_Monocyte Man	PS
Mucus	Mucus	228170	SCM
Mucus	C MUCUS	163071	EPIC
Mucus	Mucus PAH	226614	SCM
Neutrophil Count	Absolute Neutrophil Count	4856087	CERNER
Neutrophil Count	C # NEUTROPHILS (AUTO)	160595	EPIC
Neutrophil Count	Neutrophil # PAH Result	227617	SCM
Neutrophil Count	Neutro Auto	168692	DMEE
Neutrophil Count	Neutro Auto	168749	DMEE
NT-proBNP	NT-proBNP	4861795	CERNER
NT-proBNP	LEAN NT proBNP	420001	SCM
NT-proBNP	C NT PROBNP	600001	EPIC
NT-proBNP	NT-proBNP	PROBNP_NT-proBNP	PS
Nucleated RBC	Nucleated RBC Manual	4860789	CERNER
Nucleated RBC	Nucleated Red Blood Cells (NRBC)	227190	SCM
Nucleated RBC	MCODES_Nucleated RBC PAH	226620	SCM
Nucleated RBC	NRBC Man	165857	DMEE
Nucleated RBC	NRBCs	242001	DMEE
Ovalocytes	Ovalocytes	4858826	CERNER
Ovalocytes	C OVALOCYTES	159603	EPIC
Ovalocytes	Ovalocytes	228144	SCM
Ovalocytes	Ovalocytes PAH	227621	SCM
Ovalocytes	Ovalocyte	168795	DMEE
Ovalocytes	OVALOCYTES	M-DIFF_OVALOCYTES	PS
Ovalocytes	OVALOCYTES	RBCMORF_OVALOCYTES	PS
Oxygen Saturation	O2 Sat Measured	6760006	CERNER
Oxygen Saturation	MCODES_O2 Sat Measured Result	7438011	SCM
Oxygen Saturation	O2 SAT MEASURED	9738004	EPIC
Oxygen Saturation	C O2 SAT MEASURED	7461003	EPIC
Oxygen Saturation	Oxygen Saturation PAH	230181	SCM
Oxygen Saturation	C O2 SAT	6937005	EPIC
Oxygen Saturation	Calculated O2 Saturation	226294	SCM
Oxygen Saturation	O2SAT CALC	161220	DMEE
Oxygen Saturation	O2SAT CALC	169923	DMEE
Oxygen Saturation	O2 Sat Measured	GEM4000 COOX_O2 Sat Measured	PS
Oxygen Saturation	O2 Sat Measured	COOX RALS PAH_O2 Sat Measured	PS
Oxygen Saturation, Arterial	MCODES_O2 Sat Meas Art Result	227100	SCM
Oxygen Saturation, Arterial	O2Sat Measured Arterial	4860802	CERNER
Oxygen Saturation, Arterial	MEASURED O2 SAT ART	159801	EPIC
Oxygen Saturation, Arterial	O2Sat Meas Art	160893	DMEE
Oxygen Saturation, Arterial	O2 Sat Measured	GEM4ART_O2 Sat Measured	PS
Oxygen Saturation, Arterial	O2Sat Meas Art	ABL90 ART_O2Sat Meas Art	PS
Oxygen Saturation, Arterial	O2Sat Meas Art	NVABG_O2Sat Meas Art	PS
Oxygen Saturation, Arterial	O2Sat Meas Art	VABG_O2Sat Meas Art	PS
Oxygen Saturation, Venous	Oxygen Saturation Venous	4858800	CERNER
Oxygen Saturation, Venous	O2 Sat Ven Result 0500832	228100	SCM
Oxygen Saturation, Venous	MEASURED O2 SAT VEN	165174	EPIC
Oxygen Saturation, Venous	O2 Sat Ven	160949	DMEE
Oxygen Saturation, Venous	O2 Sat Measured	GEM4VEN_O2 Sat Measured	PS
Oxygen Saturation, Venous	O2 Sat Ven	ABL90 VEN_O2 Sat Ven	PS
Oxygen Saturation, Venous	O2 Sat Ven	VBG_O2 Sat Ven	PS
Oxygen Saturation, Venous	O2 Sat Ven	_Abg/Lytes Rals Venous_O2 Sat Ven	PS
Oxygen Saturation, Venous	O2 Sat Ven	_ABG Rals Venous PAH_O2 Sat Ven	PS
Oxyhemoglobin, Venous	O2Hb Venous	8836004	CERNER
Oxyhemoglobin, Venous	MCODES_O2 Hb Venous Result	8853005	SCM
Oxyhemoglobin, Venous	C O2HB VENOUS	8870004	EPIC
Oxyhemoglobin, Venous	O2Hb Venous	ABL90 VEN_O2Hb Venous	PS
Partial Pressure of Carbon Dioxide, Arterial	P CO2 Arterial	4860866	CERNER
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art Result	227846	SCM
Partial Pressure of Carbon Dioxide, Arterial	PCO2 ART	171922	EPIC
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art	183114	DMEE
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art	167921	DMEE
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art (T)	172634	DMEE
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art	ABL90 ART_pCO2 Art	PS
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art	NVABG_pCO2 Art	PS
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art	GEM4ART_pCO2 Art	PS
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art	_ABG/Lytes Rals PAH_pCO2 Art	PS
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art	VABG_pCO2 Art	PS
Partial Pressure of Carbon Dioxide, Arterial	pCO2 Art	_ABG Rals PAH_pCO2 Art	PS
Partial Pressure of Carbon Dioxide, Venous	P CO2 Venous	4859867	CERNER
Partial Pressure of Carbon Dioxide, Venous	pCO2 Ven	227848	SCM
Partial Pressure of Carbon Dioxide, Venous	C P CO2 VENOUS	1298001	EPIC
Partial Pressure of Carbon Dioxide, Venous	pCO2 Venous PAH	237103	SCM
Partial Pressure of Carbon Dioxide, Venous	C PCO2 VENOUS	6932006	EPIC
Partial Pressure of Carbon Dioxide, Venous	PCO2 VEN	171932	EPIC
Partial Pressure of Carbon Dioxide, Venous	pCO2 Ven	187112	DMEE
Partial Pressure of Carbon Dioxide, Venous	pCO2 Ven	ABL90 VEN_pCO2 Ven	PS
Partial Pressure of Carbon Dioxide, Venous	pCO2 Ven	VBG_pCO2 Ven	PS
Partial Pressure of Carbon Dioxide, Venous	pCO2 Ven	_Abg/Lytes Rals Venous_pCO2 Ven	PS
Partial Pressure of Carbon Dioxide, Venous	pCO2 Ven	GEM4VEN_pCO2 Ven	PS
Partial Pressure of Carbon Dioxide, Venous	pCO2 Ven	_ABG Rals Venous PAH_pCO2 Ven	PS
Partial Pressure of Oxygen, Arterial	P O2 Arterial	4858908	CERNER
Partial Pressure of Oxygen, Arterial	pO2 Art Result	228846	SCM
Partial Pressure of Oxygen, Arterial	PO2 ART	160614	EPIC
Partial Pressure of Oxygen, Arterial	pO2 Art	187130	DMEE
Partial Pressure of Oxygen, Arterial	pO2 Art	ABL90 ART_pO2 Art	PS
Partial Pressure of Oxygen, Arterial	pO2 Art	NVABG_pO2 Art	PS
Partial Pressure of Oxygen, Arterial	pO2 Art	GEM4ART_pO2 Art	PS
Partial Pressure of Oxygen, Arterial	pO2 Art	_ABG/Lytes Rals PAH_pO2 Art	PS
Partial Pressure of Oxygen, Arterial	pO2 Art	VABG_pO2 Art	PS
Partial Pressure of Oxygen, Arterial	pO2 Art	_ABG Rals PAH_pO2 Art	PS
Partial Pressure of Oxygen, Venous	P O2 Venous	4861909	CERNER
Partial Pressure of Oxygen, Venous	pO2 Ven Results	228848	SCM
Partial Pressure of Oxygen, Venous	C PO2 VEN	167098	EPIC
Partial Pressure of Oxygen, Venous	PO2 Venous PAH	239520	SCM
Partial Pressure of Oxygen, Venous	C PO2 VENOUS	6931005	EPIC
Partial Pressure of Oxygen, Venous	pO2 Ven	179134	DMEE
Partial Pressure of Oxygen, Venous	pO2 Ven	ABL90 VEN_pO2 Ven	PS
Partial Pressure of Oxygen, Venous	pO2 Ven	VBG_pO2 Ven	PS
Partial Pressure of Oxygen, Venous	pO2 Ven	_Abg/Lytes Rals Venous_pO2 Ven	PS
Partial Pressure of Oxygen, Venous	pO2 Ven	GEM4VEN_pO2 Ven	PS
Partial Pressure of Oxygen, Venous	pO2 Ven	_ABG Rals Venous PAH_pO2 Ven	PS
Partial Thromboplastin Time	Partial Thromboplastin Time	4855955	CERNER
Partial Thromboplastin Time	C PTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME)	170654	EPIC
Partial Thromboplastin Time	MCODES_APTT	237166	SCM
Partial Thromboplastin Time	MCODES_PTT (ActivPartThromboplasTime)PAH	234184	SCM
Partial Thromboplastin Time	PTT	162482	DMEE
Partial Thromboplastin Time	PTT	166597	DMEE
Partial Thromboplastin Time	PTT	PTPTT_PTT	PS
Partial Thromboplastin Time	PTT	PTT_PTT	PS
Partial Thromboplastin Time	PTT	_SPCPTT_PTT	PS
pH	C PH	171095	EPIC
pH, Arterial	pH Arterial	4858888	CERNER
pH, Arterial	pH Art Results	226877	SCM
pH, Arterial	PH ART	167076	EPIC
pH, Arterial	pH Art	183118	DMEE
pH, Arterial	pH Art	ABL90 ART_pH Art	PS
pH, Arterial	pH Art	NVABG_pH Art	PS
pH, Arterial	pH Art	GEM4ART_pH Art	PS
pH, Arterial	pH Art	_ABG/Lytes Rals PAH_pH Art	PS
pH, Arterial	pH Art	VABG_pH Art	PS
pH, Arterial	pH Art	_ABG Rals PAH_pH Art	PS
pH, Venous	pH Venous	4862894	CERNER
pH, Venous	C PH VENOUS	6936007	EPIC
pH, Venous	pH Ven	164336	DMEE
pH, Venous	pH Ven	ABL90 VEN_pH Ven	PS
pH, Venous	pH Ven	VBG_pH Ven	PS
pH, Venous	pH Ven	_Abg/Lytes Rals Venous_pH Ven	PS
pH, Venous	pH Ven	GEM4VEN_pH Ven	PS
pH, Venous	pH Ven	_ABG Rals Venous PAH_pH Ven	PS
Phosphorus Level	Phosphorus Level	4862893	CERNER
Phosphorus Level	C PHOSPHATE	159183	EPIC
Phosphorus Level	MCODES_Phosphorus Level HUP/PPMC	230921	SCM
Phosphorus Level	Phosphorus, Serum PAH	237104	SCM
Phosphorus Level	Phosphorus	163916	DMEE
Phosphorus Level	Phosphorus	168462	DMEE
Phosphorus Level	Phosphorus	PHOS_Phosphorus	PS
Phosphorus Level	Phosphorus	CHEM16_Phosphorus	PS
Phosphorus Level	Phosphorus	Chem11_Phosphorus	PS
Phosphorus Level	Phosphorus	NTPN_Phosphorus	PS
Platelet Count	Platelet	4857899	CERNER
Platelet Count	C PLATELETS	163026	EPIC
Platelet Count	MCODES_PlateletCount(PLT)Result HUP/PMC	228116	SCM
Platelet Count	Platelet   Count PAH	231501	SCM
Platelet Count	MCODES_Platelet  Count Result	227630	SCM
Platelet Count	Platelet Count	4860902	CERNER
Platelet Count	Platelet Count (SPLT)	226117	SCM
Platelet Count	PLATELETS	883003	EPIC
Platelet Count	Platelet	162013	DMEE
Platelet Count	Platelet	162052	DMEE
Platelet Count	PLATELET COUNT	168673	DMEE
Platelet Count	PLATELET COUNT	165584	DMEE
Platelet Count	Platelet	CBCAUTO_Platelet	PS
Platelet Count	Platelet	CBC PLT_Platelet	PS
Platelet Estimate	PLT Estimate	4861902	CERNER
Platelet Estimate	C PLATELET ESTIMATE (MANUAL)	159170	EPIC
Platelet Estimate	Platelet Estimate	226135	SCM
Platelet Estimate	Platelet Estimate PAH	226631	SCM
Platelet Estimate	PLT Est	162096	DMEE
Platelet Estimate	PLT Est	166473	DMEE
Platelet Estimate	PLT Est	M-DIFF_PLT Est	PS
Platelet Estimate	PLT Est	PLT-SCR_PLT Est	PS
Polychromasia	Polychromasia	4858910	CERNER
Polychromasia	C POLYCHROMASIA	159601	EPIC
Polychromasia	Polychromasia	226150	SCM
Polychromasia	Polychro	168783	DMEE
Polychromasia	Polychro	M-DIFF_Polychro	PS
Polychromasia	Polychro	RBCMORF_Polychro	PS
Potassium Level	Potassium Level	4855917	CERNER
Potassium Level	C POTASSIUM	159166	EPIC
Potassium Level	MCODES_Potassium Level HHUP/PPMC	231971	SCM
Potassium Level	Potassium, Serum PAH	233182	SCM
Potassium Level	Potassium PAH	226634	SCM
Potassium Level	Potassium Lvl	168505	DMEE
Potassium Level	Potassium Lvl	161396	DMEE
Potassium Level	Potassium Lvl	168465	DMEE
Potassium Level	POTASSIUM	163724	DMEE
Potassium Level	POTASSIUM	163730	DMEE
Potassium Level	Potassium Lvl	BMP_Potassium Lvl	PS
Potassium Level	Potassium Lvl	ABL90 VEN_Potassium Lvl	PS
Potassium Level	Potassium Lvl	CMP_Potassium Lvl	PS
Potassium Level	Potassium Lvl	NAK_Potassium Lvl	PS
Potassium Level	Potassium Lvl	GEM4VEN_Potassium Lvl	PS
Potassium Level	Potassium Lvl	K_Potassium Lvl	PS
Potassium Level	Potassium Lvl	GEM4ART_Potassium Lvl	PS
Potassium Level	Potassium Lvl	CHEM16_Potassium Lvl	PS
Potassium Level	Potassium Lvl	Chem11_Potassium Lvl	PS
Potassium Level	Potassium Lvl	NTPN_Potassium Lvl	PS
Potassium Level	Potassium Lvl	Lytes_Potassium Lvl	PS
Protein Total	Protein Total	4866199	CERNER
Protein Total	C PROTEIN, TOTAL	170469	EPIC
Protein Total	MCODES_Total Protein HUP/PPMC	229969	SCM
Protein Total	Protein Total Serum PAH	233183	SCM
Protein Total	Protein Total	164951	DMEE
Protein Total	Protein Total	168158	DMEE
Protein Total	Protein Total	HEPPNL_Protein Total	PS
Protein Total	Protein Total	LIVEREV_Protein Total	PS
Protein Total	Protein Total	CMP_Protein Total	PS
Protein Total	Protein Total	TP_Protein Total	PS
Protein Total	Protein Total	Liver Evaluation Profile (A/G Ratio, ALB, ALP, ALT_Protein Total	PS
Protein Total	Protein Total	NTPN_Protein Total	PS
Prothrombin Time	Prothrombin Time	4855947	CERNER
Prothrombin Time	C PT (PROTHROMBIN TIME)	159226	EPIC
Prothrombin Time	MCODES_Prothrombin Time	228159	SCM
Prothrombin Time	MCODES_PT (Prothrombin Time) PAH	239719	SCM
Prothrombin Time	PT	162475	DMEE
Prothrombin Time	PT	162372	DMEE
Prothrombin Time	PT	PTPTT_PT	PS
Prothrombin Time	PT	PT_PT	PS
Prothrombin Time	PT	_SPCPT_PT	PS
RBC Morphology	RBC Morphology	4857967	CERNER
RBC Morphology	C RBC MORPHOLOGY	170908	EPIC
RBC Morphology	Red Blood Cell Morphology	226470	SCM
RBC Morphology	RBC Morph	168773	DMEE
RBC Morphology	RBC Morph	162126	DMEE
RBC Morphology	RBC Morph	M-DIFF_RBC Morph	PS
RBC Morphology	RBC Morph	RBCMORF_RBC Morph	PS
Red Blood Cell	Red Blood Cell	4855967	CERNER
Red Blood Cell	C RED BLOOD CELLS	163020	EPIC
Red Blood Cell	RBC Result HUP/PMC	226165	SCM
Red Blood Cell	RBC Count PAH ***LIO***	235523	SCM
Red Blood Cell	Red Blood Cells PAH	227639	SCM
Red Blood Cell	RED BLOOD CELLS	884002	EPIC
Red Blood Cell	RBC	161947	DMEE
Red Blood Cell	RBC	161967	DMEE
Red Blood Cell	RBC	168618	DMEE
Red Blood Cell	RBC	161952	DMEE
Red Blood Cell	RBC	CBCAUTO_RBC	PS
Red Blood Cell	RBC	CBC PLT_RBC	PS
Red Cell Distribution Width	Red Cell Distribution Width	4861969	CERNER
Red Cell Distribution Width	C RDW	159161	EPIC
Red Cell Distribution Width	Red Cell Distribution Result HUP/PMC	226469	SCM
Red Cell Distribution Width	RDW PAH Result	227638	SCM
Red Cell Distribution Width	RDW	880003	EPIC
Red Cell Distribution Width	RDW	165566	DMEE
Red Cell Distribution Width	RDW	162047	DMEE
Red Cell Distribution Width	RED CELL DISTRIBUTION	168670	DMEE
Red Cell Distribution Width	RED CELL DISTRIBUTION	168672	DMEE
Red Cell Distribution Width	RED CELL DISTRIBUTIO	165560	DMEE
Red Cell Distribution Width	RDW	CBCAUTO_RDW	PS
Red Cell Distribution Width	RDW	CBC PLT_RDW	PS
Segmented Neutrophil Count	Segmented Neutrophils Manual	4863028	CERNER
Segmented Neutrophil Count	C # SEGMENTED NEUTROPHILS (MANUAL)	159777	EPIC
Segmented Neutrophil Count	Segmented Neutrophils PAH Results	227644	SCM
Segmented Neutrophil Count	Segs Man	165731	DMEE
Segmented Neutrophil Count	Segs Man	162135	DMEE
Segmented Neutrophil Count	Seg Abs	M-DIFF_Seg Abs	PS
Sodium Level	Sodium Level	4867119	CERNER
Sodium Level	C SODIUM	163041	EPIC
Sodium Level	MCODES_Sodium Level HUP/PPMC	234918	SCM
Sodium Level	Sodium, Serum PAH	234187	SCM
Sodium Level	Sodium PAH	228648	SCM
Sodium Level	SODIUM	772007	EPIC
Sodium Level	Sodium  PAH	227648	SCM
Sodium Level	Sodium Level	161377	DMEE
Sodium Level	Sodium Level	168473	DMEE
Sodium Level	SODIUM	161373	DMEE
Sodium Level	SODIUM	163673	DMEE
Sodium Level	Sodium Level	BMP_Sodium Level	PS
Sodium Level	Sodium Level	ABL90 VEN_Sodium Level	PS
Sodium Level	Sodium Level	CMP_Sodium Level	PS
Sodium Level	Sodium Level	NAK_Sodium Level	PS
Sodium Level	Sodium Level	GEM4VEN_Sodium Level	PS
Sodium Level	Sodium Level	CHEM16_Sodium Level	PS
Sodium Level	Sodium Level	Chem11_Sodium Level	PS
Sodium Level	Sodium Level	NTPN_Sodium Level	PS
Sodium Level	Sodium Level	NA_Sodium Level	PS
Sodium Level	Sodium Level	Lytes_Sodium Level	PS
Sodium Level, Arterial	MCODES_Sodium Art Result	8853008	SCM
Sodium Level, Arterial	Sodium Art	8829004	CERNER
Sodium Level, Arterial	C SODIUM ART	8841004	EPIC
Sodium Level, Arterial	Sodium Art	ABL90 ART_Sodium Art	PS
Sodium Level, Arterial	Sodium Level	GEM4ART_Sodium Level	PS
Squamous Epithelial	Squamous Epithelial	228449	SCM
Squamous Epithelial	C SQUAMOUS EPITHELIAL	159795	EPIC
Squamous Epithelial	Squamous Epithelial Cells PAH	228650	SCM
Temp	Patient Temperature	4858955	CERNER
Temp	MCODES_Patient Temp Result	226624	SCM
Temp	Body Temperature (ISTAT) 0500075	227322	SCM
Temp	PATIENT TEMPERATURE	5210002	EPIC
Temp	Body Temperature	4861178	CERNER
Temp	C BODY TEMPERATURE	1411002	EPIC
Temp	Body Temperature	4855178	CERNER
Temp	Body Temp	GEM4VEN_Body Temp	PS
Temp	Body Temp	GEM4ART_Body Temp	PS
Temp	Body Temp	GEM4000 COOX_Body Temp	PS
Temp	PT TEMP	POC Lactate PAH_PT TEMP	PS
Temp	PT TEMP	_Abg/Lytes Rals Venous_PT TEMP	PS
Temp	PT TEMP	_ABG Rals Venous PAH_PT TEMP	PS
Temp	PT TEMP	_ABG/Lytes Rals PAH_PT TEMP	PS
Temp	PT TEMP	_ABG Rals PAH_PT TEMP	PS
Temp	Temp Art	ABL90 ART_Temp Art	PS
Temp, Arterial	Temp Art	8827003	CERNER
Temp, Arterial	MCODES_Temp Art Result	8852004	SCM
Temp, Arterial	C TEMP ART	8842003	EPIC
Thryoid Stimulating Hormone	Thryoid Stimulating Hormone	4863222	CERNER
Thryoid Stimulating Hormone	C THYROID STIMULATING HORMONE	159352	EPIC
Thryoid Stimulating Hormone	LEAN Thyroid Stimulating Hormone	234232	SCM
Total Carbon Dioxide	TCO2	4870173	CERNER
Total Carbon Dioxide	TCO2	GEM4VEN_TCO2	PS
Triglycerides	TRIGLYCERIDES	LIPID_TRIGLYCERIDES	PS
Triglycerides	TRIGLYCERIDES	TRIG_TRIGLYCERIDES	PS
Triglycerides	TRIGLYCERIDES	LIPrDLDL_TRIGLYCERIDES	PS
Triglycerides	TRIGLYCERIDES	CHEM16_TRIGLYCERIDES	PS
Triglycerides	TRIGLYCERIDES	NTPN_TRIGLYCERIDES	PS
Troponin-I Point of Care	Troponin-I Point of Care	6744004	CERNER
Troponin-I Point of Care	MCODES_Troponin-I POC Result HUP	6870004	SCM
Troponin-I Point of Care	C TROPONIN-I POC	6881003	EPIC
Troponin-I Point of Care	Troponin-I	4864219	CERNER
Troponin-I Point of Care	LEAN Troponin-I	239123	SCM
Troponin-I Point of Care	TROPONIN-I	164210	DMEE
Troponin-I Point of Care	Troponin Ultra	4866193	CERNER
Troponin-I Point of Care	Troponin Ultra PAH	233215	SCM
Troponin-T	MCODES_Troponin T	418002	SCM
Troponin-T	Troponin-T	4865219	CERNER
Troponin-T	C TROPONIN T	599001	EPIC
Troponin-T	Troponin-T	551015	DMEE
Troponin-T	Troponin-T	TROPT_Troponin-T	PS
TSH	TSH	TSH_TSH	PS
TSH	TSH	TSHrFT4_TSH	PS
Urine Appearance	Urine Appearance	4866238	CERNER
Urine Appearance	C UA APPEARANCE	170483	EPIC
Urine Appearance	Appearance PAH	228525	SCM
Urine Appearance	UA Appear	166217	DMEE
Urine Appearance	UA Appear	169293	DMEE
Urine Appearance	UA Spec Grav	169300	DMEE
Urine Appearance	UA Appear	POC UA DIP_UA Appear	PS
Urine Appearance	UA Appear	UA DIP_UA Appear	PS
Urine Bacteria	Urine Bacteria	4867239	CERNER
Urine Bacteria	UA Bacteria	168893	DMEE
Urine Bacteria	UA Bacteria	167131	DMEE
Urine Bacteria	UA Bacteria	UA MICR_UA Bacteria	PS
Urine Bilirubin	Urine Bilirubin	4868238	CERNER
Urine Bilirubin	UA Bilirubin	228426	SCM
Urine Bilirubin	C UA BILIRUBIN	170479	EPIC
Urine Bilirubin	Bilirubin PAH	228535	SCM
Urine Bilirubin	UA Bili	166172	DMEE
Urine Bilirubin	UA Bili	169289	DMEE
Urine Bilirubin	UA Bili	POC UA DIP_UA Bili	PS
Urine Bilirubin	UA Bili	UA DIP_UA Bili	PS
Urine Blood	Urine Blood	4870238	CERNER
Urine Blood	UA Blood	226454	SCM
Urine Blood	C UA BLOOD	163062	EPIC
Urine Blood	UA BLOOD	637004	EPIC
Urine Blood	Blood PAH	228537	SCM
Urine Blood	UA BLOOD	168879	DMEE
Urine Blood	UA Blood	169301	DMEE
Urine Blood	UA BLOOD	POC UA DIP_UA BLOOD	PS
Urine Blood	UA BLOOD	UA DIP_UA BLOOD	PS
Urine Blood	UA Blood	POC UA DIP_UA Blood	PS
Urine Blood	UA Blood	UA DIP_UA Blood	PS
Urine Color	Urine Color	4866239	CERNER
Urine Color	UA Color	227454	SCM
Urine Color	C UA COLOR	159175	EPIC
Urine Color	Color PAH	226556	SCM
Urine Color	UA COLOR	166211	DMEE
Urine Color	UA Color	169292	DMEE
Urine Color	UA COLOR	POC UA DIP_UA COLOR	PS
Urine Color	UA COLOR	UA DIP_UA COLOR	PS
Urine Color	UA Color	POC UA DIP_UA Color	PS
Urine Color	UA Color	UA DIP_UA Color	PS
Urine Glucose	Urine Glucose	4864240	CERNER
Urine Glucose	UA Glucose (Dipstick)	228454	SCM
Urine Glucose	C UA GLUCOSE	159171	EPIC
Urine Glucose	UA GLUCOSE	638002	EPIC
Urine Glucose	Glucose Qualitative PAH	228573	SCM
Urine Glucose	UA Glucose	166169	DMEE
Urine Glucose	UA Glucose	POC UA DIP_UA Glucose	PS
Urine Glucose	UA Glucose	UA DIP_UA Glucose	PS
Urine Human Chorionic Gonadotropin	URINE HCG	165012	EPIC
Urine Ketones	Urine Ketones	4866240	CERNER
Urine Ketones	UA Ketones (Dipstick)	226455	SCM
Urine Ketones	C UA KETONES	163059	EPIC
Urine Ketones	UA KETONES	639001	EPIC
Urine Ketones	Ketones PAH	227589	SCM
Urine Ketones	UA Ketones	166178	DMEE
Urine Ketones	UA Ketones	169303	DMEE
Urine Ketones	UA Ketones	POC UA DIP_UA Ketones	PS
Urine Ketones	UA Ketones	UA DIP_UA Ketones	PS
Urine Leukocyte Esterase	Urine Leukocyte Esterase	4870240	CERNER
Urine Leukocyte Esterase	Leukocyte Esterase	227241	SCM
Urine Leukocyte Esterase	C UA LEUKOCYTE ESTERASE	159174	EPIC
Urine Leukocyte Esterase	UA LEUKOCYTE ESTERASE	639003	EPIC
Urine Leukocyte Esterase	Leukocyte Esterase PAH	228595	SCM
Urine Leukocyte Esterase	UA Leuk Est	168887	DMEE
Urine Leukocyte Esterase	UA Leuk Est	169319	DMEE
Urine Leukocyte Esterase	UA Leuk Est	POC UA DIP_UA Leuk Est	PS
Urine Leukocyte Esterase	UA Leuk Est	UA DIP_UA Leuk Est	PS
Urine Mucous	Urine Mucous	4866237	CERNER
Urine Mucous	UA Mucous	166220	DMEE
Urine Mucous	UA Mucous	167083	DMEE
Urine Mucous	UA Mucous	UA MICR_UA Mucous	PS
Urine Nitrite	Urine Nitrite	4868241	CERNER
Urine Nitrite	Nitrite	226189	SCM
Urine Nitrite	C UA NITRITE	170482	EPIC
Urine Nitrite	UA NITRITE	638004	EPIC
Urine Nitrite	Nitrite PAH	226618	SCM
Urine Nitrite	UA Nitrite	168884	DMEE
Urine Nitrite	UA Nitrite	167159	DMEE
Urine Nitrite	UA Nitrite	POC UA DIP_UA Nitrite	PS
Urine Nitrite	UA Nitrite	UA DIP_UA Nitrite	PS
Urine pH	Urine pH	4870241	CERNER
Urine pH	pH (UA)	226175	SCM
Urine pH	C UA PH	159173	EPIC
Urine pH	UA PH	637005	EPIC
Urine pH	pH  PAH	226627	SCM
Urine pH	UA pH	168881	DMEE
Urine pH	UA pH	167115	DMEE
Urine pH	UA Glucose	169290	DMEE
Urine pH	UA pH	POC UA DIP_UA pH	PS
Urine pH	UA pH	UA DIP_UA pH	PS
Urine Protein	Urine Protein	4864242	CERNER
Urine Protein	UA Protein (Dipstck)	227455	SCM
Urine Protein	C UA PROTEIN	170481	EPIC
Urine Protein	UA PROTEIN	637002	EPIC
Urine Protein	Protein PAH	228636	SCM
Urine Protein	UA Protein	162216	DMEE
Urine Protein	UA Protein	169304	DMEE
Urine Protein	UA Protein	POC UA DIP_UA Protein	PS
Urine Protein	UA Protein	UA DIP_UA Protein	PS
Urine RBC	Urine RBC	4865242	CERNER
Urine RBC	C UA RBC	163077	EPIC
Urine RBC	Red Blood Cells (UA)	227470	SCM
Urine RBC	UA RBC	166238	DMEE
Urine RBC	UA RBC	169306	DMEE
Urine RBC	UA RBC	UA MICR_UA RBC	PS
Urine Specific Gravity	Urine Specific Gravity	4864243	CERNER
Urine Specific Gravity	Specific Gravity	226452	SCM
Urine Specific Gravity	C UA SPECIFIC GRAVITY	159172	EPIC
Urine Specific Gravity	Specific Gravity Urine PAH	234436	SCM
Urine Specific Gravity	UA Spec Grav	166181	DMEE
Urine Specific Gravity	UA Spec Grav	POC UA DIP_UA Spec Grav	PS
Urine Specific Gravity	UA Spec Grav	UA DIP_UA Spec Grav	PS
Urine Squamous Epithelial Cells	Urine Squamous Epithelial Cells	4868237	CERNER
Urine Squamous Epithelial Cells	UA Sqm Epith Cells	166382	DMEE
Urine Squamous Epithelial Cells	UA Sqm Epith Cells	167147	DMEE
Urine Squamous Epithelial Cells	UA Sqm Epith Cells	UA MICR_UA Sqm Epith Cells	PS
Urine Turbidity	Turbidity	226433	SCM
